persons_count,landing_year,noc_2011_level4_eng_desc
90,2000,7244 - Electrical power line and cable workers
55,2000,7245 - Telecommunications line and cable workers
140,2000,7246 - Telecommunications installation and repair workers
5,2000,7247 - Cable television service and maintenance technicians
35,2000,7251 - Plumbers
5,2000,"7252 - Steamfitters, pipefitters and sprinkler system installers"
--,2000,7253 - Gas fitters
140,2000,7271 - Carpenters
55,2000,7272 - Cabinetmakers
25,2000,7281 - Bricklayers
--,2000,7282 - Concrete finishers
10,2000,7283 - Tilesetters
10,2000,"7284 - Plasterers, drywall installers and finishers and lathers"
10,2000,7291 - Roofers and shinglers
--,2000,7292 - Glaziers
--,2000,7293 - Insulators
40,2000,7294 - Painters and decorators (except interior decorators)
5,2000,7295 - Floor covering installers
155,2000,"7301 - Contractors and supervisors, mechanic trades"
--,2000,"7302 - Contractors and supervisors, heavy equipment operator crews"
--,2000,"7303 - Supervisors, printing and related occupations"
--,2000,"7304 - Supervisors, railway transport operations"
--,2000,"7305 - Supervisors, motor transport and other ground transit operators"
225,2000,7311 - Construction millwrights and industrial mechanics
175,2000,7312 - Heavy-duty equipment mechanics
35,2000,7313 - Refrigeration and air conditioning mechanics
--,2000,7314 - Railway carmen/women
145,2000,7315 - Aircraft mechanics and aircraft inspectors
20,2000,7316 - Machine fitters
--,2000,7318 - Elevator constructors and mechanics
265,2000,"7321 - Automotive service technicians, truck and bus mechanics and mechanical repairers"
25,2000,7322 - Motor vehicle body repairers
--,2000,7331 - Oil and solid fuel heating mechanics
15,2000,7332 - Appliance servicers and repairers
45,2000,7333 - Electrical mechanics
--,2000,"7334 - Motorcycle, all-terrain vehicle and other related mechanics"
10,2000,7335 - Other small engine and small equipment repairers
--,2000,7361 - Railway and yard locomotive engineers
--,2000,7362 - Railway conductors and brakemen/women
10,2000,7371 - Crane operators
--,2000,"7372 - Drillers and blasters - surface mining, quarrying and construction"
10,2000,7381 - Printing press operators
55,2000,"7384 - Other trades and related occupations, n.e.c."
10,2000,7441 - Residential and commercial installers and servicers
--,2000,7442 - Waterworks and gas maintenance workers
--,2000,7444 - Pest controllers and fumigators
30,2000,7445 - Other repairers and servicers
--,2000,7451 - Longshore workers
25,2000,7452 - Material handlers
95,2000,7511 - Transport truck drivers
20,2000,"7512 - Bus drivers, subway operators and other transit operators"
105,2000,7513 - Taxi and limousine drivers and chauffeurs
90,2000,7514 - Delivery and courier service drivers
10,2000,7521 - Heavy equipment operators (except crane)
--,2000,7522 - Public works maintenance equipment operators and related workers
--,2000,7531 - Railway yard and track maintenance workers
5,2000,7532 - Water transport deck and engine room crew
--,2000,7533 - Boat and cable ferry operators and related occupations
5,2000,7534 - Air transport ramp attendants
25,2000,7535 - Other automotive mechanical installers and servicers
145,2000,7611 - Construction trades helpers and labourers
165,2000,7612 - Other trades helpers and labourers
10,2000,7621 - Public works and maintenance labourers
10,2000,7622 - Railway and motor transport labourers
--,2000,"8222 - Contractors and supervisors, oil and gas drilling and services"
5,2000,8231 - Underground production and development miners
--,2000,"8232 - Oil and gas well drillers, servicers, testers and related workers"
--,2000,8241 - Logging machinery operators
25,2000,"8252 - Agricultural service contractors, farm supervisors and specialized livestock workers"
--,2000,"8255 - Contractors and supervisors, landscaping, grounds maintenance and horticulture services"
5,2000,8262 - Fishermen/women
--,2000,8412 - Oil and gas well drilling and related workers and services operators
--,2000,8421 - Chain saw and skidder operators
--,2000,8422 - Silviculture and forestry workers
145,2000,8431 - General farm workers
--,2000,8432 - Nursery and greenhouse workers
10,2000,8611 - Harvesting labourers
--,2000,8612 - Landscaping and grounds maintenance labourers
--,2000,8614 - Mine labourers
--,2000,"8615 - Oil and gas drilling, servicing and related labourers"
5,2000,8616 - Logging and forestry labourers
5,2000,"9211 - Supervisors, mineral and metal processing"
10,2000,"9213 - Supervisors, food, beverage and associated products processing"
--,2000,"9214 - Supervisors, plastic and rubber products manufacturing"
--,2000,"9215 - Supervisors, forest products processing"
15,2000,"9217 - Supervisors, textile, fabric, fur and leather products processing and manufacturing"
--,2000,"9221 - Supervisors, motor vehicle assembling"
--,2000,"9222 - Supervisors, electronics manufacturing"
--,2000,"9223 - Supervisors, electrical products manufacturing"
--,2000,"9224 - Supervisors, furniture and fixtures manufacturing"
--,2000,"9226 - Supervisors, other mechanical and metal products manufacturing"
5,2000,"9227 - Supervisors, other products manufacturing and assembly"
--,2000,"9231 - Central control and process operators, mineral and metal processing"
--,2000,"9232 - Petroleum, gas and chemical process operators"
--,2000,"9235 - Pulping, papermaking and coating control operators"
40,2000,9241 - Power engineers and power systems operators
20,2000,"9411 - Machine operators, mineral and metal processing"
--,2000,9412 - Foundry workers
--,2000,9413 - Glass forming and finishing machine operators and glass cutters
--,2000,"9414 - Concrete, clay and stone forming operators"
