persons_count,landing_year,census_metropolitan_area_eng_desc
350,2003,Kingston
2400,2003,Kitchener - Cambridge - Waterloo
10,2003,Lachute
25,2003,Lacombe
100,2003,Leamington
185,2003,Lethbridge
25,2003,Lloydminster (Alberta part)
--,2003,Lloydminster (Saskatchewan part)
2035,2003,London
5,2003,Matane
150,2003,Medicine Hat
35,2003,Midland
10,2003,Miramichi
160,2003,Moncton
32560,2003,Montréal
85,2003,Moose Jaw
175,2003,Nanaimo
25,2003,New Glasgow
85,2003,Norfolk
15,2003,North Battleford
30,2003,North Bay
15,2003,Not stated
35,2003,Okotoks
50,2003,Orillia
605,2003,Oshawa
595,2003,Other - Alberta
745,2003,Other - British Columbia
785,2003,Other - Manitoba
75,2003,Other - New Brunswick
50,2003,Other - Newfoundland and Labrador
155,2003,Other - Nova Scotia
780,2003,Other - Ontario
20,2003,Other - Prince Edward Island
535,2003,Other - Quebec
225,2003,Other - Saskatchewan
5995,2003,Ottawa - Gatineau (Ontario part)
915,2003,Ottawa - Gatineau (Quebec part)
1125,2003,Outside of defined CMA
25,2003,Owen Sound
50,2003,Parksville
5,2003,Pembroke
85,2003,Penticton
5,2003,Petawawa
135,2003,Peterborough
20,2003,Port Alberni
10,2003,Port Hope
15,2003,Portage la Prairie
15,2003,Powell River
70,2003,Prince Albert
105,2003,Prince George
25,2003,Prince Rupert
1755,2003,Québec
15,2003,Quesnel
205,2003,Red Deer
560,2003,Regina
45,2003,Rimouski
--,2003,Rivière-du-Loup
--,2003,Rouyn-Noranda
215,2003,Saguenay
160,2003,Saint John
--,2003,Saint-Georges
105,2003,Saint-Hyacinthe
65,2003,Saint-Jean-sur-Richelieu
25,2003,Salaberry-de-Valleyfield
20,2003,Salmon Arm
105,2003,Sarnia
630,2003,Saskatoon
55,2003,Sault Ste. Marie
10,2003,Sept-Îles
5,2003,Shawinigan
905,2003,Sherbrooke
10,2003,Sorel-Tracy
65,2003,Squamish
1085,2003,St. Catharines - Niagara
255,2003,St. John's
395,2003,Steinbach
30,2003,Stratford
20,2003,Strathmore
15,2003,Summerside
30,2003,Swift Current
15,2003,Sylvan Lake
--,2003,Temiskaming Shores
25,2003,Terrace
35,2003,"Territories, outside Census agglomeration (CA)"
5,2003,Thetford Mines
20,2003,Thompson
125,2003,Thunder Bay
25,2003,Tillsonburg
25,2003,Timmins
97395,2003,Toronto
1475,2003,Trois-Rivières
45,2003,Truro
15,2003,Val-d'Or
30775,2003,Vancouver
85,2003,Vernon
950,2003,Victoria
80,2003,Victoriaville
30,2003,Wetaskiwin
40,2003,Whitehorse
30,2003,Williams Lake
2575,2003,Windsor
5145,2003,Winnipeg
130,2003,Wood Buffalo
65,2003,Woodstock
75,2003,Yellowknife
20,2003,Yorkton
905,2004,Abbotsford - Mission
10,2004,Alma
5,2004,Amos
20,2004,Baie-Comeau
350,2004,Barrie
10,2004,Bathurst
--,2004,Bay Roberts
285,2004,Belleville
135,2004,Brandon
200,2004,Brantford
40,2004,Brockville
90,2004,Brooks
9450,2004,Calgary
40,2004,Campbell River
5,2004,Campbellton (New Brunswick part)
20,2004,Camrose
55,2004,Canmore
40,2004,Cape Breton
40,2004,Centre Wellington
225,2004,Charlottetown
145,2004,Chatham-Kent
165,2004,Chilliwack
25,2004,Cobourg
--,2004,Cold Lake
55,2004,Collingwood
15,2004,Corner Brook
125,2004,Cornwall
45,2004,Courtenay
10,2004,Cowansville
25,2004,Cranbrook
10,2004,Dawson Creek
--,2004,Dolbeau-Mistassini
155,2004,Drummondville
40,2004,Duncan
5055,2004,Edmonton
25,2004,Edmundston
10,2004,Elliot Lake
15,2004,Estevan
25,2004,Fort St. John
195,2004,Fredericton
180,2004,Granby
5,2004,Grand Falls-Windsor
125,2004,Grande Prairie
100,2004,Greater Sudbury
855,2004,Guelph
1360,2004,Halifax
4085,2004,Hamilton
30,2004,Hawkesbury (Ontario part)
--,2004,Hawkesbury (Quebec part)
35,2004,High River
5,2004,Ingersoll
90,2004,Joliette
